x,y,SVI_ID,none,hide,bone,brick,cardboard,carpet,ceilingtile,ceramic,chalkboard,clutter,concrete,cork,engineeredstone,fabric,fiberglass,fire,foliage,food,fur,gemstone,glass,hair,icannottell,ice,leather,liquid,metal,mirror,notonlist,paint,paper,pearl,photograph,clearplastic,plastic,rubber,sand,skin,sky,snow,soap,soil,sponge,stone,polishedstone,styrofoam,tile,wallpaper,water,wax,whiteboard,wicker,wood,treewood,badpolygon,multiplematerials,asphalt
-73.9568234,40.8126219,1,0,0,0,0.030316162,0,0,0,0,0,0,0.20914917,0,0,0.014001465,0,0,0.324768066,0,0,0,0.147155762,0.002600098,0,0,0,0,0.000177002,0,0,0.000415039,0,0,0,0,0.01451416,0.002935791,0,0.000860596,0.059124756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024023438,0,0,0.169958496
-73.95760955,40.81295215,2,0,0,0,0.001623535,0,0,0,0,0,0,0.232763672,0,0,0,0,0,0.187072754,0,0,0,0.190179443,0,0,0,0,0,0.012945557,0,0,0.017321777,0,0,0,0,0.000488281,0.009338379,0,0,0.059069824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002526855,0,0,0.286669922
-73.95839559,40.81328254,3,0,0,0,0.078991699,0,0,0,0,0,0,0.033337402,0,0,0.003240967,0,0,0.182781982,0,0,0,0.204864502,0,0,0,0,0,0.007995605,0,0,0.051873779,0,0,0,0,0,0.03236084,0,0,0.084533691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077758789,0,0,0.242260742
-73.95918185,40.81361264,4,0,0,0,0.050531006,0,0,0,0,0,0,0.011779785,0,0,0,0,0,0.095263672,0,0,0,0.176318359,0,0,0,0,0,0.000939941,0,0,0.085430908,0,0,0,0,0,0.021166992,0,0,0.135595703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077844238,0,0,0.345129395
-73.95999473,40.81390099,5,0,0,0,0.064874268,0,0,0,0,0,0,0.020501709,0,0,0.016174316,0,0,0.119616699,0,0,0,0.023156738,0,0,0,0,0,0.001715088,0,0,0.171759033,0,0,0,0,0,0.026763916,0,0.00010376,0.023358154,0,0,0,0,0.000402832,0,0,0,0,0,0,0,0,0,0.155926514,0,0,0.375646973
-73.967223,40.8105617,6,0,0,0,0,0,0,0,0,0,0,0.016662598,0,0,0,0,0,0.281335449,0,0,0,0,0,0,0,0,0,1.22E-05,0,0,0,0,0,0,0,0,0,0,0,0.312402344,0,0,0.021112061,0,0,0,0,0,0,0,0,0,0,0,0.00480957,0,0,0.363665771
-73.96673291,40.81113371,7,0,0,0,0,0,0,0,0,0,0,0.034832764,0,0,0,0,0,0.557202148,0,0,0,0,0,0,0,0,0,0.000653076,0,0,0.000390625,0,0,0,0,0.000854492,0,0,0,0.059558105,0,0,0.014440918,0,0.000177002,0,0,0,0,0.001159668,0,0,0,0,0.009851074,0,0,0.320880127
-73.96624428,40.81170644,8,0,0,0,0,0,0,0,0,0,0,0.045446777,0,0,0,0,0,0.510400391,0,0,0,0,0,0,0,0,0,0.005895996,0,0,0.00135498,0,0,0,0,0,0,0,0,0.17935791,0,0,0.012695313,0,0,0,0,0,0,0.243048096,0,0,0,0,0.000506592,0,0,0.001293945
-73.96575726,40.81227995,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641143799,0,0,0,0,0,0,0,0,0,0.012420654,0,0,0,0,0,0,0,0,0,0,0,0.0644104,0,0,0.005456543,0,0,0,0,0,0,0.276568604,0,0,0,0,0,0,0,0
-73.96526749,40.81285209,10,0,0,0,0,0,0,0,0,0,0,0.012438965,0,0,0,0,0,0.587451172,0,0,0,0,0,0,0,0,0,0.001843262,0,0,0,0,0,0,0,0,0,0,0,0.105871582,0,0,0.048596191,0,0,0,0,0,0,0.176422119,0,0,0,0,0,0,0,0.067376709
